湖南IPTV,#genre#
CCTV-1,http://39.134.240.3/PLTV/2/224/3221226134/index.m3u8
CCTV-2,http://39.134.240.3/PLTV/2/224/3221226188/index.m3u8
CCTV-3,http://39.134.240.3/PLTV/2/224/3221226190/index.m3u8
CCTV-4,http://39.134.240.3/PLTV/2/224/3221225829/index.m3u8
CCTV-5,http://39.134.240.3/PLTV/2/224/3221225827/index.m3u8
CCTV-5+,http://39.134.240.3/PLTV/2/224/3221225811/index.m3u8
CCTV-6,http://39.134.240.3/PLTV/2/224/3221225825/index.m3u8
CCTV-7,http://39.134.240.3/PLTV/2/224/3221225823/index.m3u8
CCTV-8,http://39.134.240.3/PLTV/2/224/3221225821/index.m3u8
CCTV-9,http://39.134.240.3/PLTV/2/224/3221225819/index.m3u8
CCTV-10,http://39.134.240.3/PLTV/2/224/3221225817/index.m3u8
CCTV-11,http://8221706.mygamesonline.org/TVOD/itvhnyd.php?id=00000001000000000026000000446966
CCTV-12,http://39.134.240.3/PLTV/2/224/3221225815/index.m3u8
CCTV-13,http://8221706.mygamesonline.org/TVOD/itvhnyd.php?id=00000001000000000050000000133801
CCTV-14,http://39.134.240.3/PLTV/2/224/3221225813/index.m3u8
CCTV-15,http://8221706.mygamesonline.org/TVOD/itvhnyd.php?id=00000001000000000026000000446967
CCTV-16,http://8221706.mygamesonline.org/TVOD/itvhnyd.php?id=00000001000000000079000000434986
CCTV-17,http://8221706.mygamesonline.org/TVOD/itvhnyd.php?id=00000001000000000025000000024152
CCTV-4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CGTN,http://39.134.240.3/PLTV/2/224/3221225936/index.m3u8
CETV1,http://183.215.116.134:6610/180000001001/00000001000000000016000000007220/index.m3u8?IASHttpSessionId=OTT
CETV2,http://183.215.116.134:6610/180000001001/00000001000000000024000000361367/index.m3u8?IASHttpSessionId=OTT
CETV4,http://39.134.65.141/PLTV/88888888/224/3221225750/index.m3u8
CETV4,http://183.215.102.57:8089/180000001001/00000001000000001017000000440665/main.m3u8?IASHttpSessionId=OTT
湖南卫视,http://8221706.mygamesonline.org/TVOD/itvhnyd.php?id=00000001000000000064000000308827
湖南卫视,http://39.134.240.3/PLTV/2/224/3221226324/index.m3u8
东方卫视,http://39.134.240.3/PLTV/2/224/3221226208/index.m3u8
江苏卫视,http://39.134.240.3/PLTV/2/224/3221226136/index.m3u8
浙江卫视,http://39.134.240.3/PLTV/2/224/3221226148/index.m3u8
北京卫视,http://39.134.240.3/PLTV/2/224/3221226204/index.m3u8
天津卫视,http://39.134.240.3/PLTV/2/224/3221226206/index.m3u8
湖北卫视,http://39.134.240.3/PLTV/2/224/3221226212/index.m3u8
安徽卫视,http://39.134.240.3/PLTV/2/224/3221225964/index.m3u8
东南卫视,http://39.134.240.3/PLTV/2/224/3221225968/index.m3u8
广东卫视,http://39.134.240.3/PLTV/2/224/3221225970/index.m3u8
广西卫视,http://39.134.240.3/PLTV/2/224/3221225978/index.m3u8
